Date,Site.Number,Samplenumber,Sample,North.Top.cam,North.Bottom.cam,East.Top.cam,East.Bottom.cam,South.Top.cam,South.Bottom.cam,West.Top.cam,West.Bottom.cam,Downwards.cam,Time.bottom,Time.end,Depth(Fathoms),Depth(m),Raw.hdd.number,Con.hdd.number,GPS Reference,Date.Time.on.GPS(UTC),Time.on.GPS(Perth),Latitude,Longitude,Comment,Image,Downwards.Habitat.image.exported,Visibility,Site,Location,Status,Observer,Successful.count,Successful.length,Video.notes,Maxn.analyst,Maxn.complete.yyyymmdd,Crew.Onboard.Vessel,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
7/04/2021,C5,31,C531,1201,1202,1205,1207,1208,1209,1231,1232,1233,7:09:57,7:17:04,13.3,24.32,RAW1,CON1,GPS Issue,GPS Issue,,115.5525567,-32.76659665,filmed 27 first but should be 31,Top,Y,Good,Mandurah,Perth,,,,,,,,Anita and Brooke,,,,
7/04/2021,C5,47,C547,1201,1202,1205,1207,1208,1209,1231,1232,1233,7:23:47,7:28:27,11.3,20.67,RAW1,CON1,GPS Issue,GPS Issue,,115.5633417,-32.76324364,,Top,Y,Good,Mandurah,Perth,,,,,,,,Anita and Brooke,,,,
7/04/2021,C5,63,C563,1201,1202,1205,1207,1208,1209,1231,1232,1233,7:32:17,7:38:10,10.8,19.75,RAW1,CON1,GPS Issue,GPS Issue,,115.5660562,-32.76636044,,Top,Y,Good,Mandurah,Perth,,,,,,,,Anita and Brooke,,,,
7/04/2021,C5,39,C539,1201,1202,1205,1207,1208,1209,1231,1232,1233,7:48:52,7:46:15,9.7,17.74,RAW1,CON1,GPS Issue,GPS Issue,,115.568033,-32.76821772,Turned off cams,Top,Y,Good,Mandurah,Perth,,,,,,,,Anita and Brooke,,,,
7/04/2021,C5,27,C527,1201,1202,1205,1207,1208,1209,1231,1232,1233,8:05:29,8:12:18,10.3,18.84,RAW1,CON1,GPS Issue,GPS Issue,,115.5637257,-32.78049273,Turned back on,Top,Y,Good,Mandurah,Perth,,,,,,,,Anita and Brooke,,,,
7/04/2021,C5,43,C543,1201,1202,1205,1207,1208,1209,1231,1232,1233,8:16:40,8:21:53,5.8,10.61,RAW1,CON1,GPS Issue,GPS Issue,,115.5719847,-32.78180705,,Top,Y,Good,Mandurah,Perth,,,,,,,,Anita and Brooke,,,,
7/04/2021,C5,16,C516,1201,1202,1205,1207,1208,1209,1231,1232,1233,8:25:37,8:30:49,7.5,13.72,RAW1,CON1,GPS Issue,GPS Issue,,115.5784373,-32.78580484,,Top,Y,Good,Mandurah,Perth,,,,,,,,Anita and Brooke,,,,
7/04/2021,C5,14,C514,1201,1202,1205,1207,1208,1209,1231,1232,1233,8:34:52,8:40:26,6.91,12.64,RAW1,CON1,GPS Issue,GPS Issue,,115.585758,-32.78854957,,Top,Y,Good,Mandurah,Perth,,,,,,,,Anita and Brooke,,,,
7/04/2021,C5,12,C512,1201,1202,1205,1207,1208,1209,1231,1232,1233,8:46:53,8:52:08,4.3,7.86,RAW1,CON1,GPS Issue,GPS Issue,,115.5822387,-32.77082479,,Top,Y,Good,Mandurah,Perth,,,,,,,,Anita and Brooke,,,,
7/04/2021,C5,3,C503,1201,1202,1205,1207,1208,1209,1231,1232,1233,8:54:51,9:01:59,4.42,8.08,RAW1,CON1,GPS Issue,GPS Issue,,115.587531,-32.77256581,Checked cameras,Top,Y,Good,Mandurah,Perth,,,,,,,,Anita and Brooke,,,,
7/04/2021,C5,57,C557,1201,1202,1205,1207,1208,1209,1231,1232,1233,9:06:16,9:11:50,4.48,8.19,RAW1,CON1,GPS Issue,GPS Issue,,115.5913896,-32.77715895,,Top,Y,Good,Mandurah,Perth,,,,,,,,Anita and Brooke,,,,
7/04/2021,C5,18,C518,1201,1202,1205,1207,1208,1209,1231,1232,1233,9:16:45,9:22:40,3.7,6.77,RAW1,CON1,GPS Issue,GPS Issue,8:00:00,115.5998587,-32.77374556,,Top,Y,Good,Mandurah,Perth,,,,,,,,Anita and Brooke,,,,
7/04/2021,C5,22,C522,1201,1202,1205,1207,1208,1209,1231,1232,1233,9:27:09,9:32:01,4.8,8.78,RAW1,CON1,C5-22n,4/07/2021 1:27,9:27:00,115.6084667,-32.78234333,,Top,Y,Good,Mandurah,Perth,,,,,,,,Anita and Brooke,,,,
7/04/2021,C5,7,C507,1201,1202,1205,1207,1208,1209,1231,1232,1233,9:37:35,9:43:50,5.3,9.69,RAW1,CON1,C5-07n,4/07/2021 1:44,9:44:00,115.6062517,-32.79069333,camera 1201 off from this point,Bottom,Y,Good,Mandurah,Perth,,,,,,,,Anita and Brooke,,,,
7/04/2021,C5,60,C560,1201,1202,1205,1207,1208,1209,1231,1232,1233,9:50:19,9:57:17,2.2,4.02,RAW1,CON1,C5-60n,4/07/2021 1:51,9:51:00,115.6260875,-32.78541033,Mark on Ipad is off,Bottom,Y,Good,Mandurah,Perth,,,,,,,,Anita and Brooke,,,,
