"sample","latitude","longitude","date","time.bottom","site","location","visibility","image","fov.Limited","fov.Open","mean.relief","sd.relief","detailed.Consolidated.Rock.No biota","detailed.Consolidated.Rock.Turf mat","detailed.Consolidated.Rock.Veneer","detailed.Macroalgae.Articulated calcareous.","detailed.Macroalgae.Drift.","detailed.Macroalgae.Encrusting.Brown","detailed.Macroalgae.Encrusting.Green","detailed.Macroalgae.Encrusting.Red","detailed.Macroalgae.Erect course branching.Brown","detailed.Macroalgae.Erect course branching.Green","detailed.Macroalgae.Erect course branching.Red","detailed.Macroalgae.Erect course branching.Unknown","detailed.Macroalgae.Erect fine branching.Brown","detailed.Macroalgae.Erect fine branching.Green","detailed.Macroalgae.Erect fine branching.Red","detailed.Macroalgae.Filamentous and filiform.","detailed.Macroalgae.Laminate.","detailed.Macroalgae.Large canopy-forming.Ecklonia radiata","detailed.Macroalgae.Large canopy-forming.Scytothalia dorycarpa","detailed.Macroalgae.Small mixed.","detailed.Seagrasses.Elliptical leaves.Halophila sp.","detailed.Seagrasses.Elliptical leaves.Halophila sp. with epiphytes algae","detailed.Seagrasses.Strap-like leaves.","detailed.Seagrasses.Strap-like leaves.Amphibolis sp.","detailed.Seagrasses.Strap-like leaves.Amphibolis sp. with epiphytes algae","detailed.Seagrasses.Strap-like leaves.Posidonia sp.","detailed.Seagrasses.Strap-like leaves.Posidonia sp. with epiphytes algae","detailed.Seagrasses.Strap-like leaves.Thalassodendrum sp.","detailed.Seagrasses.Strap-like leaves.Thalassodendrum sp. with epiphytes algae","detailed.Sponges.Crusts.","detailed.Sponges.Erect forms.","detailed.Sponges.Hollow forms.","detailed.Sponges.Massive forms.","detailed.Sponges.Small mixed.","detailed.Stony corals.Branching.Live","detailed.Stony corals.Foliose / plate.Live","detailed.Stony corals.Massive.Live","detailed.Stony corals.Small mixed.Live","detailed.Stony corals.Staghorn.Live","detailed.Unconsolidated.Sand.mud (coarse sand)"
"C531",115.5525567,-32.76659665,"7/04/2021",07:09:57,"Mandurah","Perth","Good","Top",0,100,2.94,0.239897937482095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.2222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77777777777778
"C547",115.5633417,-32.76324364,"7/04/2021",07:23:47,"Mandurah","Perth","Good","Top",0,100,2.96153846153846,0.194183909345154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.6486486486486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35135135135135
"C563",115.5660562,-32.76636044,"7/04/2021",07:32:17,"Mandurah","Perth","Good","Top",0,100,0.618181818181818,0.560783482708001,0,0,0,0,6.66666666666667,0,0,0,1.33333333333333,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
"C539",115.568033,-32.76821772,"7/04/2021",07:48:52,"Mandurah","Perth","Good","Top",0,100,1.12,0.328260722659316,0,0,0,0,12.8205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.1794871794872
"C527",115.5637257,-32.78049273,"7/04/2021",08:05:29,"Mandurah","Perth","Good","Top",0,100,0.966666666666667,0.181020334719393,0,0,0,0,18.9873417721519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0126582278481
"C543",115.5719847,-32.78180705,"7/04/2021",08:16:40,"Mandurah","Perth","Good","Top",0,100,2.96666666666667,0.181020334719393,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,20,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
"C516",115.5784373,-32.78580484,"7/04/2021",08:25:37,"Mandurah","Perth","Good","Top",0,100,3,0,0,0,0,1.31578947368421,0,0,0,0,0,0,0,0,0,0,81.5789473684211,0,0,17.1052631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C514",115.585758,-32.78854957,"7/04/2021",08:34:52,"Mandurah","Perth","Good","Top",0,100,2.96078431372549,0.196039211763921,0,0,0,0,0,0,0,0,0,0,1.63934426229508,0,4.91803278688525,0,29.5081967213115,0,0,1.63934426229508,0,0,0,0,0,45.9016393442623,14.7540983606557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63934426229508
"C512",115.5822387,-32.77082479,"7/04/2021",08:46:53,"Mandurah","Perth","Good","Top",0,100,2.91666666666667,0.278717806785302,0,0,0,0,0,0,0,0,17.9487179487179,0,0,0,0,0,34.6153846153846,0,0,47.4358974358974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C503",115.587531,-32.77256581,"7/04/2021",08:54:51,"Mandurah","Perth","Good","Top",0,100,1.58333333333333,0.743141902334709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1351351351351,1.35135135135135,0,0,0,24.3243243243243,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1891891891892
